######################################################################
# H2O Spectrum based on HITRAN2008
######################################################################

HITRAN2008  H2O Spectrum at 265K and 0.7atm
mol/cm^2

  265.00   1.00000000E-25    380.00000000  910.00000000  53001
  384.029999   0.0000000D+00
  384.040009   0.0000000D+00
  384.049988   0.0000000D+00
  384.059998   0.0000000D+00
  384.070007   0.0000000D+00
  384.079987   0.0000000D+00
  384.089996   0.0000000D+00
  384.100006   0.0000000D+00
  384.109985   0.0000000D+00
  384.119995   0.0000000D+00
  384.130005   0.0000000D+00
  384.140015   0.0000000D+00
  384.149994   0.0000000D+00
  384.160004   0.0000000D+00
  384.170013   0.0000000D+00
  384.179993   0.0000000D+00
  384.190002   0.0000000D+00
  384.200012   0.0000000D+00
  384.209991   0.0000000D+00
  384.220001   0.0000000D+00
  384.230011   0.0000000D+00
  384.239990   0.0000000D+00
  384.250000   0.0000000D+00
  384.260010   0.0000000D+00
  384.269989   0.0000000D+00
  384.279999   0.0000000D+00
  384.290009   0.0000000D+00
  384.299988   0.0000000D+00
  384.309998   0.0000000D+00
  384.320007   0.0000000D+00
  384.329987   0.0000000D+00
  384.339996   0.0000000D+00
  384.350006   0.0000000D+00
  384.359985   0.0000000D+00
  384.369995   0.0000000D+00
  384.380005   0.0000000D+00
  384.390015   0.0000000D+00
  384.399994   0.0000000D+00
  384.410004   0.0000000D+00
  384.420013   0.0000000D+00
  384.429993   0.0000000D+00
  384.440002   0.0000000D+00
  384.450012   0.0000000D+00
  384.459991   0.0000000D+00
  384.470001   0.0000000D+00
  384.480011   0.0000000D+00
  384.489990   0.0000000D+00
  384.500000   0.0000000D+00
  384.510010   0.0000000D+00
  384.519989   0.0000000D+00
  384.529999   0.0000000D+00
  384.540009   0.0000000D+00
  384.549988   0.0000000D+00
  384.559998   0.0000000D+00
  384.570007   0.0000000D+00
  384.579987   0.0000000D+00
  384.589996   0.0000000D+00
  384.600006   0.0000000D+00
  384.609985   0.0000000D+00
  384.619995   0.0000000D+00
  384.630005   0.0000000D+00
  384.640015   0.0000000D+00
  384.649994   0.0000000D+00
  384.660004   0.0000000D+00
  384.670013   0.0000000D+00
  384.679993   0.0000000D+00
  384.690002   0.0000000D+00
  384.700012   0.0000000D+00
  384.709991   0.0000000D+00
  384.720001   0.0000000D+00
  384.730011   0.0000000D+00
  384.739990   0.0000000D+00
  384.750000   0.0000000D+00
  384.760010   0.0000000D+00
  384.769989   0.0000000D+00
  384.779999   0.0000000D+00
  384.790009   0.0000000D+00
  384.799988   0.0000000D+00
  384.809998   0.0000000D+00
  384.820007   0.0000000D+00
  384.829987   0.0000000D+00
  384.839996   0.0000000D+00
  384.850006   0.0000000D+00
  384.859985   0.0000000D+00
  384.869995   0.0000000D+00
  384.880005   0.0000000D+00
  384.890015   0.0000000D+00
  384.899994   0.0000000D+00
  384.910004   0.0000000D+00
